"","sci_name","Genus","Species","nutrient_data","ctmax_estimate","gl_fish","db","Family"
"221","Iluocoetes fimbriatus","Iluocoetes","fimbriatus","Y",NA,NA,"itis","Zoarcidae"
"222","Cottoperca gobio","Cottoperca","gobio","Y",NA,NA,"itis","Bovichthyidae"
"223","Parona signata","Parona","signata","Y",NA,NA,"itis","Carangidae"
"224","Nemadactylus bergi","Nemadactylus","bergi","Y",NA,NA,"itis","Cheilodactylidae"
"225","Dissostichus eleginoides","Dissostichus","eleginoides","Y",NA,NA,"itis","Nototheniidae"
"226","Cottunculus granulosus","Cottunculus","granulosus","Y",NA,NA,"itis","Psychrolutidae"
"227","Paralichthys patagonicus","Paralichthys","patagonicus","Y",NA,NA,"itis","Paralichthyidae"
"228","Mancopsetta maculata","Mancopsetta","maculata","Y",NA,NA,"itis","Achiropsettidae"
"229","Squalus acanthias","Squalus","acanthias","Y",NA,NA,"itis","Squalidae"
"230","Schroederichthys bivius","Schroederichthys","bivius","Y",NA,NA,"itis","Scyliorhinidae"
"231","Thaleichthys pacificus","Thaleichthys","pacificus","Y",NA,NA,"itis","Osmeridae"
"232","Mallotus villosus","Mallotus","villosus","Y",NA,NA,"itis","Osmeridae"
"233","Ammodytes hexapterus","Ammodytes","hexapterus","Y",NA,NA,"itis","Ammodytidae"
"234","Trichodon trichodon","Trichodon","trichodon","Y",NA,NA,"itis","Ditrichaceae"
"235","Osmerus mordax","Osmerus","mordax","Y","Y","Y","itis","Osmeridae"
"236","Theragra chalcogramma","Theragra","chalcogramma","Y",NA,NA,"itis",NA
"237","Zaprora silenus","Zaprora","silenus","Y",NA,NA,"itis","Zaproridae"
"238","Hypomesus pretiosus","Hypomesus","pretiosus","Y",NA,NA,"itis","Osmeridae"
"239","Pleurogrammus monopterygius","Pleurogrammus","monopterygius","Y",NA,NA,"itis","Hexagrammidae"
"240","Aphanopus carbo","Aphanopus","carbo","Y",NA,NA,"itis","Trichiuridae"
"241","Stolephorus tri","Stolephorus","tri","Y",NA,NA,"itis","Engraulidae"
"242","Pagellus bogaraveo","Pagellus","bogaraveo","Y",NA,NA,"itis","Sparidae"
"243","Macrognathus pancalus","Macrognathus","pancalus","Y",NA,NA,"itis","Mastacembelidae"
"244","Lutjanus argentimaculatus","Lutjanus","argentimaculatus","Y",NA,NA,"itis","Lutjanidae"
"245","Trachinotus blochii","Trachinotus","blochii","Y",NA,NA,"itis","Carangidae"
"246","Cynoglossus arel","Cynoglossus","arel","Y",NA,NA,"itis","Cynoglossidae"
"247","Coregonus albula","Coregonus","albula","Y",NA,NA,"itis","Salmonidae"
"248","Benthosema pterotum","Benthosema","pterotum","Y",NA,NA,"itis","Myctophidae"
"249","Equulites elongatus","Equulites","elongatus","Y",NA,NA,"itis",NA
"250","Dussumieria elopsoides","Dussumieria","elopsoides","Y",NA,NA,"itis","Clupeidae"
"251","Megalaspis cordyla","Megalaspis","cordyla","Y",NA,NA,"itis","Carangidae"
"252","Dentex dentex","Dentex","dentex","Y",NA,NA,"itis","Sparidae"
"253","Mullus barbatus","Mullus","barbatus","Y",NA,NA,"itis","Mullidae"
"254","Sarpa salpa","Sarpa","salpa","Y","Y",NA,"itis","Sparidae"
"255","Sillaginopsis panijus","Sillaginopsis","panijus","Y",NA,NA,"itis","Sillaginidae"
"256","Clupea pallasii","Clupea","pallasii","Y",NA,NA,"itis","Clupeidae"
"257","Dissostichus mawsoni","Dissostichus","mawsoni","Y",NA,NA,"itis","Nototheniidae"
"258","Lepidonotothen squamifrons","Lepidonotothen","squamifrons","Y","Y",NA,"itis","Nototheniidae"
"259","Pagothenia borchgrevinki","Pagothenia","borchgrevinki","Y","Y",NA,"itis","Nototheniidae"
"260","Liza aurata","Liza","aurata","Y",NA,NA,"itis","Mugilidae"
"261","Clupeonella cultriventris","Clupeonella","cultriventris","Y",NA,NA,"itis","Clupeidae"
"262","Hippoglossus hippoglossus","Hippoglossus","hippoglossus","Y",NA,NA,"itis","Pleuronectidae"
"263","Sciaena umbra","Sciaena","umbra","Y",NA,NA,"itis","Sciaenidae"
"264","Mystus cavasius","Mystus","cavasius","Y",NA,NA,"itis","Bagridae"
"265","Mystus vittatus","Mystus","vittatus","Y",NA,NA,"itis","Bagridae"
"266","Labeo bata","Labeo","bata","Y",NA,NA,"itis","Cyprinidae"
"267","Hypophthalmichthys nobilis","Hypophthalmichthys","nobilis","Y","Y",NA,"itis","Cyprinidae"
"268","Mystus tengara","Mystus","tengara","Y",NA,NA,"itis","Bagridae"
"269","Lepidocephalichthys guntea","Lepidocephalichthys","guntea","Y",NA,NA,"itis","Cobitidae"
"270","Raja clavata","Raja","clavata","Y",NA,NA,"itis","Rajidae"
"271","Johnius belangerii","Johnius","belangerii","Y",NA,NA,"itis","Sciaenidae"
"272","Platycephalus indicus","Platycephalus","indicus","Y","Y",NA,"itis","Platycephalidae"
"273","Alosa fallax","Alosa","fallax","Y",NA,NA,"itis","Clupeidae"
"274","Belone belone","Belone","belone","Y",NA,NA,"itis","Belonidae"
"275","Dicologlossa cuneata","Dicologlossa","cuneata","Y",NA,NA,"itis","Soleidae"
"276","Odax pullus","Odax","pullus","Y",NA,NA,"itis","Odacidae"
"277","Hyporhamphus ihi","Hyporhamphus","ihi","Y",NA,NA,"itis","Hemiramphidae"
"278","Polyprion oxygeneios","Polyprion","oxygeneios","Y",NA,NA,"itis","Polyprionidae"
"279","Arripis trutta","Arripis","trutta","Y",NA,NA,"itis","Arripidae"
"280","Mustelus lenticulatus","Mustelus","lenticulatus","Y",NA,NA,"itis","Triakidae"
"281","Galeorhinus galeus","Galeorhinus","galeus","Y",NA,NA,"itis","Triakidae"
"282","Diplodus sargus","Diplodus","sargus","Y",NA,NA,"itis","Sparidae"
"283","Chelon parsia","Chelon","parsia","Y",NA,NA,"itis","Mugilidae"
"284","Eleutheronema tetradactylum","Eleutheronema","tetradactylum","Y",NA,NA,"itis","Polynemidae"
"285","Hyporhamphus limbatus","Hyporhamphus","limbatus","Y",NA,NA,"itis","Hemiramphidae"
"286","Sciaenops ocellatus","Sciaenops","ocellatus","Y","Y",NA,"itis","Sciaenidae"
"287","Centropomus parallelus","Centropomus","parallelus","Y",NA,NA,"itis","Centropomidae"
"288","Macrodon ancylodon","Macrodon","ancylodon","Y",NA,NA,"itis","Sciaenidae"
"289","Mugil liza","Mugil","liza","Y",NA,NA,"itis","Mugilidae"
"290","Ophiodon elongatus","Ophiodon","elongatus","Y",NA,NA,"itis","Hexagrammidae"
"291","Sebastes flavidus","Sebastes","flavidus","Y",NA,NA,"itis","Scorpaenidae"
"292","Sebastes pinniger","Sebastes","pinniger","Y",NA,NA,"itis","Scorpaenidae"
"293","Sebastes melanops","Sebastes","melanops","Y",NA,NA,"itis","Scorpaenidae"
"294","Microstomus pacificus","Microstomus","pacificus","Y",NA,NA,"itis","Pleuronectidae"
"295","Isopsetta isolepis","Isopsetta","isolepis","Y",NA,NA,"itis","Pleuronectidae"
"296","Parophrys vetulus","Parophrys","vetulus","Y","Y",NA,"itis","Pleuronectidae"
"297","Platichthys stellatus","Platichthys","stellatus","Y",NA,NA,"itis","Pleuronectidae"
"298","Merluccius productus","Merluccius","productus","Y",NA,NA,"itis","Merlucciidae"
"299","Oncorhynchus tshawytscha","Oncorhynchus","tshawytscha","Y","Y","Y","itis","Salmonidae"
"300","Oncorhynchus gorbuscha","Oncorhynchus","gorbuscha","Y","Y","Y","itis","Salmonidae"
